country,code,count
Brazil,BRA,1
Greece,GRC,1
Argentina,ARG,3
Ireland,IRL,2
Spain,ESP,1
Portugal,PRT,12
Germany,DEU,1
Hungary,HUN,1
France,FRA,1
Mexico,MEX,1
Colombia,COL,1
United States,USA,2
United Kingdom,GBR,1
Sweden,SWE,1
