country,code,count
Canada,CAN,1
Argentina,ARG,3
Germany,DEU,1
Iran,IRN,2
United Kingdom,GBR,3
Portugal,PRT,2
Russia,RUS,2
United States,USA,3
United Arab Emirates,ARE,1
